qp,frames,fps,bitrate_kbps,out_file,out_size_bytes,elapsed_sec,return_code
10,300,126.21,5272.59,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp10.264,7908878,2.434045000001788,0
11,300,127.87,4618.91,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp11.264,6928359,2.383124000392854,0
12,300,131.58,4025.2,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp12.264,6037801,2.3437251998111606,0
13,300,133.01,3485.73,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp13.264,5228598,2.289664200041443,0
14,300,136.11,2979.56,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp14.264,4469344,2.2456381996162236,0
15,300,139.48,2536.9,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp15.264,3805353,2.2011355999857187,0
16,300,145.86,2148.68,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp16.264,3223013,2.1059154998511076,0
17,300,147.79,1821.2,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp17.264,2731795,2.102909800130874,0
18,300,151.11,1548.91,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp18.264,2323358,2.0534191001206636,0
19,300,155.57,1319.3,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp19.264,1978955,2.004024099558592,0
20,300,162.0,1113.49,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp20.264,1670229,1.9148504002951086,0
21,300,165.63,952.55,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp21.264,1428828,1.8635689001530409,0
22,300,165.97,809.37,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp22.264,1214060,1.8501066998578608,0
23,300,175.0,691.51,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp23.264,1037271,1.770248499698937,0
24,300,159.76,593.0,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp24.264,889504,1.9133895998820662,0
25,300,152.91,511.45,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp25.264,767177,2.008265200071037,0
26,300,159.8,439.69,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp26.264,659536,1.9135882002301514,0
27,300,163.67,381.01,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp27.264,571511,1.86710590030998,0
28,300,167.08,328.73,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp28.264,493089,1.870023500174284,0
29,300,176.99,286.13,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp29.264,429202,1.7717834999784827,0
30,300,186.73,249.84,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp30.264,374753,1.6747770998626947,0
31,300,190.88,219.85,C:\Users\ASUS\Desktop\beamr-home assignment\submisson\script\out_qp\foreman_qp31.264,329782,1.6321930000558496,0
